,Absolute Time,Block,Trial,Color,Trial Time,Phase,Phase Time,Rating
137,45.7410397001,1,1,4,11.7173769999,square,11.7173767999,25
138,45.8241423001,1,1,4,11.8004796,square,11.8004795,25
139,45.9075140001,1,1,4,11.8838513,square,11.8838512,25
140,45.9908138,1,1,4,11.9671509999,square,11.9671507999,25
141,46.0745805,1,1,4,12.0509180999,square,12.0509179999,25
142,46.1747507,1,1,4,12.1510892999,square,12.1511105,25
143,46.2744977,1,1,4,12.2508386,square,12.2508388,25
144,46.3577586,1,1,4,12.3340959999,square,12.3340958999,25
145,46.4574913001,1,1,4,12.4338286,square,12.4338286,25
146,46.5410876001,1,1,4,12.517425,square,12.517425,25
147,46.6242527,1,1,4,12.6005899999,square,12.6005898999,25
148,46.7074935001,1,1,4,12.6838313,square,12.6838311,25
149,46.7908556,1,1,4,12.7671928999,square,12.7671927999,25
150,46.8742068,1,1,4,12.8505439999,square,12.8505437999,25
151,46.9574753001,1,1,4,12.9338127,square,12.9338126,25
152,47.0409472,1,1,4,13.0172843999,square,13.0172842999,25
153,47.1242426001,1,1,4,13.1005802,square,13.1005799,25
154,47.2075208001,1,1,4,13.1838582,square,13.1838581,25
155,47.291008,1,1,4,13.2673452999,square,13.2673450999,25
156,47.3742788001,1,1,4,13.3506161,square,13.3506159,25
157,47.4577277,1,1,4,13.4340648999,square,13.4340658999,25
158,47.5408076,1,1,4,13.5171449999,square,13.5171448999,25
159,47.6245498001,1,1,4,13.6008871,square,13.6008869,25
160,47.7075747,1,1,4,13.6839121999,square,13.6839119999,25
161,47.7912797,1,1,4,13.7676174999,square,13.7676180999,25
162,47.8911709001,1,1,4,13.8675084,square,13.8675083,25
163,47.9742534001,1,1,4,13.9505905999,square,13.9505904999,25
164,48.0579527001,1,1,4,14.034291,square,14.0342908,25
165,48.1578123,1,1,4,14.1341495999,square,14.1341493999,25
166,48.2411303001,1,1,4,14.217468,square,14.2174678999,25
167,48.3411663,1,1,4,14.3175041999,square,14.3175040999,25
168,48.4249358,1,1,4,14.4012741999,square,14.4012742999,25
169,48.5244353,1,1,4,14.5007725999,square,14.5007723999,25
170,48.6076867001,1,1,4,14.5840239,square,14.5840238,25
171,48.6909983001,1,1,4,14.6673355,square,14.6673354,25
172,48.7743565,1,1,4,14.7506936999,square,14.7506934999,25
173,48.8576577001,1,1,4,14.833995,square,14.8339948,25
174,48.9410280001,1,1,4,14.9173654,square,14.9173653,25
175,49.0243473001,1,1,4,15.0006846,square,15.0006843,25
176,49.1077553,1,1,4,15.0840924999,square,15.0840927999,25
177,49.1910901001,1,1,4,15.1674274,square,15.1674272,25
178,49.2745789001,1,1,4,15.2509386999,square,15.2509385999,25
179,49.3744597001,1,1,4,15.3507972,square,15.3507972,25
180,49.3918118001,1,1,4,15.3681550999,full,0.0173548000166,25
181,49.4075797001,1,1,4,15.3839237,full,0.0331239000661,25
182,49.4245597001,1,1,4,15.4008972,full,0.0500932000577,25
183,49.4413232,1,1,4,15.4176606999,full,0.0668567999965,25
184,49.4576605001,1,1,4,15.4339978,full,0.0831938000629,25
185,49.4746360001,1,1,4,15.4509732999,full,0.100169299985,25
186,49.4910143,1,1,4,15.4673517999,full,0.116547700018,25
187,49.5079005001,1,1,4,15.4842379,full,0.133434000076,25
188,49.5245174001,1,1,4,15.5008547,full,0.15005070006,25
189,49.5411561001,1,1,4,15.5174933999,full,0.166689399979,25
190,49.5577788,1,1,4,15.5341160999,full,0.18331220001,25
191,49.5744555001,1,1,4,15.5507928999,full,0.199988799985,25
192,49.5911054,1,1,4,15.5674426999,full,0.216638699989,25
193,49.6078933,1,1,4,15.5842304999,full,0.233492300031,25
194,49.6243927,1,1,4,15.6007299999,full,0.249925900018,25
195,49.6412366,1,1,4,15.6175737999,full,0.266769799986,25
196,49.6576838001,1,1,4,15.6340211,full,0.283217000077,25
197,49.6745718,1,1,4,15.6509091,full,0.300105000031,25
198,49.6913271,1,1,4,15.6676645,full,0.316860600025,25
199,49.7083644001,1,1,4,15.6847018,full,0.33389800007,25
200,49.7244364001,1,1,4,15.7007738999,full,0.349969699979,25
201,49.7412945001,1,1,4,15.7176317,full,0.366827600054,25
202,49.7578522001,1,1,4,15.7342122999,full,0.383408399997,25
203,49.7746373001,1,1,4,15.7509746,full,0.400170600042,25
204,49.7911638001,1,1,4,15.7675011,full,0.416697100038,25
205,49.8078478001,1,1,4,15.7841852,full,0.433381100069,25
