expName,Version,subjectID,Session Number,Section,Start Time,End Time,Duration,Block Count,Trial Count,Image Displayed,Flanker,Direction,Correct Answer,Cell Number,User Response,Correct or Incorrect,User Response TimeStamp,User Response Time
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:52,04/01/22 10:00:53,0.539317,0,31,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:53,04/01/22 10:00:53,0.434905,0,31,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:53,04/01/22 10:00:55,1.720317,,31,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:55,04/01/22 10:00:55,0.522669,0,31,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:55,04/01/22 10:00:56,0.541789,0,32,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:56,04/01/22 10:00:56,0.429809,0,32,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:56,04/01/22 10:00:58,1.724418,,32,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:58,04/01/22 10:00:59,0.525346,0,32,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:59,04/01/22 10:00:59,0.491877,0,33,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:59,04/01/22 10:01:00,0.416008,0,33,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:01:00,04/01/22 10:01:01,1.733137,,33,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:01:01,04/01/22 10:01:02,0.543516,0,33,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:01:02,04/01/22 10:01:02,0.375412,0,34,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:01:02,04/01/22 10:01:03,0.421481,0,34,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:01:03,04/01/22 10:01:04,1.731158,,34,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:01:04,04/01/22 10:01:05,0.530296,0,34,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:01:05,04/01/22 10:01:05,0.415133,0,35,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:01:05,04/01/22 10:01:06,0.427842,0,35,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:01:06,04/01/22 10:01:08,1.735447,,35,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:01:08,04/01/22 10:01:08,0.527903,0,35,,,,,,,,,
FlankerTask,1,1,1,Waiting for scanner,04/01/22 10:01:08,04/01/22 10:02:20,72.095907,1,,,,,,,,,,
FlankerTask,1,1,1,Get Ready Screen,04/01/22 10:02:20,04/01/22 10:02:28,8.023127,1,,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:28,04/01/22 10:02:29,0.425789,1,0,,,,,,,,,
