Trial_ID,Step,Stimulus,Response,ResponseTime,Duration,CorrectAnswer,Type
25,Fixation,+,,,0.504339000035543,,
25,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,0.5042959582642652,[,fNTc
25,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,1.0035849999985658,[,fNTc
25,ITI,ITI,,,0.727090583415702,,
25,Fixation,+,,,2.5025471249828115,,
26,Fixation,+,,,0.5040720417164266,,
26,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5n.bmp,,,0.5036274999729358,[,mNN
26,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5n.bmp,,,1.0034289166214876,[,mNN
26,ITI,ITI,,,0.2521012083743699,,
26,Fixation,+,,,2.5022437083534896,,
27,Fixation,+,,,0.5044524582917802,,
27,Display Faces,enlarged_images/A/m2t.bmp / enlarged_images/A/m2n.bmp,,,0.5061410833150148,[,mNTi
27,Display Faces,enlarged_images/A/m2t.bmp / enlarged_images/A/m2n.bmp,,,1.003030416672118,[,mNTi
27,ITI,ITI,,,0.30226125003537163,,
27,Fixation,+,,,2.50234437501058,,
28,Fixation,+,,,0.5036353749455884,,
28,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,0.5035122083500028,[,fNTc
28,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,1.0034433333203197,[,fNTc
28,ITI,ITI,,,0.5525401667109691,,
28,Fixation,+,,,2.50245787500171,,
29,Fixation,+,,,0.5026515832869336,,
29,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,0.5040857915882953,[,mNTc
29,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,1.0031711249612272,[,mNTc
29,ITI,ITI,,,0.47730745834996924,,
29,Fixation,+,,,2.5022988332784735,,
30,Fixation,+,,,0.5033909166231751,,
30,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5034762917202897,[,fNTc
30,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.0037395416293293,[,fNTc
30,ITI,ITI,,,0.7024097082903609,,
30,Fixation,+,,,2.50319020828465,,
31,Fixation,+,,,0.5038420833298005,,
31,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5n.bmp,,,0.5040955416625366,[,mNN
31,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5n.bmp,,,1.0032545000431128,[,mNN
31,ITI,ITI,,,0.552286958321929,,
31,Fixation,+,,,2.502297875005752,,
32,Fixation,+,,,0.5040323749999516,,
32,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,0.5035318332957104,[,mNTc
32,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,1.003443541645538,[,mNTc
32,ITI,ITI,,,0.4770089999656193,,
32,Fixation,+,,,2.502253208309412,,
33,Fixation,+,,,0.5040404999745078,,
33,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,0.5041549584129825,[,fNTc
33,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,1.0033780416706577,[,fNTc
33,ITI,ITI,,,0.5775819583213888,,
33,Fixation,+,,,2.5024016666575335,,
34,Fixation,+,,,0.5034541666973382,,
34,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,0.5035977083607577,[,mNTc
34,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,1.0033382916590199,[,mNTc
34,ITI,ITI,,,0.4276142083690502,,
34,Fixation,+,,,2.5024339166120626,,
35,Fixation,+,,,0.5041253750096075,,
35,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,0.5040706666186452,[,fNTc
35,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,1.0030965416808613,[,fNTc
35,ITI,ITI,,,0.5770466249668971,,
35,Fixation,+,,,2.5025514583685435,,
36,Fixation,+,,,0.5033797083888203,,
36,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3t.bmp,,,0.5039946250035428,[,mNTi
36,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3t.bmp,,,1.0033617083681747,[,mNTi
36,ITI,ITI,,,0.4020406666677445,,
36,Fixation,+,,,2.5027276250184514,,
37,Fixation,+,,,0.5041703750030138,,
37,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1n.bmp,,,0.5040166666731238,[,mNN
37,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1n.bmp,,,1.0030307917040773,[,mNN
37,ITI,ITI,,,0.302139499981422,,
37,Fixation,+,,,2.5022545833489858,,
38,Fixation,+,,,0.5043299166718498,,
38,Display Faces,enlarged_images/A/m1t.bmp / enlarged_images/A/m1n.bmp,,,0.503665916621685,[,mNTi
38,Display Faces,enlarged_images/A/m1t.bmp / enlarged_images/A/m1n.bmp,,,1.0035554999485612,[,mNTi
38,ITI,ITI,,,0.6021372916875407,,
38,Fixation,+,,,2.502303708344698,,
39,Fixation,+,,,0.5042783333337866,,
39,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,0.5039330416475423,[,fNTc
